iter	Passed	Remaining
833	3726	741
834	3730	737
835	3734	732
836	3738	728
837	3742	723
838	3746	718
839	3751	714
840	3758	710
841	3764	706
842	3769	702
843	3774	697
844	3778	693
845	3784	688
846	3788	684
847	3792	679
848	3797	675
849	3801	670
850	3806	666
851	3810	661
852	3815	657
853	3820	653
854	3824	648
855	3829	644
856	3833	639
857	3837	635
858	3841	630
859	3845	625
860	3849	621
861	3852	616
862	3856	612
863	3860	607
864	3864	603
865	3868	598
866	3872	594
867	3876	589
868	3880	585
869	3884	580
870	3888	575
871	3891	571
872	3896	566
873	3900	562
874	3904	557
875	3909	553
876	3915	549
877	3922	544
878	3927	540
879	3932	536
880	3937	531
881	3941	527
882	3947	523
883	3951	518
884	3956	514
885	3961	509
886	3965	505
887	3969	500
888	3973	496
889	3978	491
890	3983	487
891	3987	482
892	3990	478
893	3995	473
894	3999	469
895	4004	464
896	4008	460
897	4012	455
898	4016	451
899	4020	446
900	4024	442
901	4028	437
902	4032	433
903	4036	428
904	4040	424
905	4044	419
906	4048	415
907	4051	410
908	4055	406
909	4060	401
910	4064	397
911	4068	392
912	4072	388
913	4077	383
914	4081	379
915	4086	374
916	4091	370
917	4096	365
918	4101	361
919	4106	357
920	4113	352
921	4118	348
922	4122	343
923	4127	339
924	4132	335
925	4138	330
926	4144	326
927	4149	321
928	4153	317
929	4159	313
930	4163	308
931	4168	304
932	4175	299
933	4179	295
934	4183	290
935	4189	286
936	4193	281
937	4198	277
938	4204	273
939	4210	268
940	4214	264
941	4219	259
942	4223	255
943	4228	250
944	4232	246
945	4237	241
946	4242	237
947	4246	232
948	4251	228
949	4256	224
950	4260	219
951	4264	215
952	4269	210
953	4274	206
954	4278	201
955	4283	197
956	4287	192
957	4292	188
958	4296	183
959	4300	179
960	4305	174
961	4309	170
962	4313	165
963	4317	161
964	4322	156
965	4327	152
966	4336	147
967	4343	143
968	4350	139
969	4355	134
970	4360	130
971	4365	125
972	4370	121
973	4375	116
974	4380	112
975	4385	107
976	4390	103
977	4394	98
978	4400	94
979	4404	89
980	4410	85
981	4416	80
982	4421	76
983	4426	71
984	4431	67
985	4435	62
986	4439	58
987	4444	53
988	4449	49
989	4453	44
990	4458	40
991	4463	35
992	4467	31
993	4471	26
994	4476	22
995	4481	17
996	4486	13
997	4492	9
998	4497	4
999	4502	0
